Well,well,0.04,0.56
the,the,0.6,0.73
years,years,0.73,1.1
start,start,1.12,1.4700000000000002
coming,coming,1.47,1.8399999999999999
and,and,1.84,2.0
they,they,2.0,2.14
don't,don't,2.14,2.41
stop,stop,2.47,2.89
coming,coming,2.9,3.4299999999999997
Fed,fed,3.74,3.99
to,to,3.99,4.13
the,the,4.13,4.29
rules,rules,4.29,4.69
and,and,4.69,4.880000000000001
I,i,4.88,5.06
hit,hit,5.07,5.2700000000000005
the,the,5.27,5.359999999999999
ground,ground,5.36,5.69
running,running,5.7,6.29
Didn't,didn't,6.58,6.88
make,make,6.89,7.18
sense,sense,7.27,7.56
not,not,7.58,7.84
to,to,7.84,7.96
live,live,7.96,8.29
for,for,8.3,8.5
fun,fun,8.5,9.08
Your,your,9.34,9.59
brain,brain,9.599999,10.029999
gets,gets,10.04,10.26
smart,smart,10.389999,10.729999
but,but,10.78,10.92
your,your,10.92,11.07
head,head,11.07,11.34
gets,gets,11.34,11.61
dumb,dumb,11.61,12.31
